Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Price_Lakh,service_cost_thousand,Car_Age,Engine_Category,Mileage_Category
1,Toyota,Innova,2024,CNG,Manual,2020000.0,27.3,800,4,24100.0,20.2,24.1,0,Below 1.0L,Excellent
2,Kia,EV6,2023,Diesel,Manual,1770000.0,16.4,2500,7,18800.0,17.7,18.8,1,2.0L-3.0L,Average
3,Maruti Suzuki,Dzire,2016,Petrol,Manual,3430000.0,17.6,2000,6,24700.0,34.3,24.7,8,1.5L-2.0L,Average
4,Honda,Amaze,2019,Petrol,Manual,1610000.0,19.2,2500,6,23300.0,16.1,23.3,5,2.0L-3.0L,Average
5,Honda,City,2015,Electric,Manual,1840000.0,15.8,1000,5,5800.0,18.4,5.8,9,Below 1.0L,Average
6,Kia,Sonet,2020,Petrol,Manual,2780000.0,21.5,1800,7,23700.0,27.8,23.7,4,1.5L-2.0L,Good
7,Toyota,Glanza,2019,CNG,Manual,2270000.0,29.7,1500,7,13300.0,22.7,13.3,5,1.0L-1.5L,Excellent
8,Volkswagen,Taigun,2017,CNG,Manual,2770000.0,20.2,1800,4,10200.0,27.7,10.2,7,1.5L-2.0L,Good
9,Renault,Lodgy,2015,Petrol,Manual,2180000.0,10.5,1800,5,18900.0,21.8,18.9,9,1.5L-2.0L,Low
10,Kia,EV6,2019,CNG,Automatic,990000.0,16.1,1800,6,15400.0,9.9,15.4,5,1.5L-2.0L,Average
11,Honda,Jazz,2022,CNG,Automatic,3010000.0,17.2,1500,4,8500.0,30.1,8.5,2,1.0L-1.5L,Average
12,Honda,Civic,2018,Petrol,Manual,2000000.0,10.8,2000,6,7800.0,20.0,7.8,6,1.5L-2.0L,Low
13,Renault,Kiger,2022,Petrol,Automatic,820000.0,29.6,1000,5,19100.0,8.2,19.1,2,Below 1.0L,Excellent
14,Honda,Jazz,2022,CNG,Manual,3020000.0,25.3,2500,7,7300.0,30.2,7.3,2,2.0L-3.0L,Excellent
15,Mahindra,Scorpio,2017,Diesel,Manual,1280000.0,11.1,2500,6,23300.0,12.8,23.3,7,2.0L-3.0L,Low
16,Tata Motors,Punch,2016,Diesel,Automatic,490000.0,19.2,2500,5,7300.0,4.9,7.3,8,2.0L-3.0L,Average
17,Toyota,Fortuner,2016,CNG,Automatic,540000.0,14.9,1000,4,9500.0,5.4,9.5,8,Below 1.0L,Low
18,Skoda,Kushaq,2023,Petrol,Automatic,3360000.0,21.8,1200,7,21100.0,33.6,21.1,1,1.0L-1.5L,Good
19,Tata Motors,Tiago,2015,CNG,Manual,910000.0,13.5,1200,6,15400.0,9.1,15.4,9,1.0L-1.5L,Low
20,Skoda,Superb,2017,CNG,Manual,1780000.0,26.9,1200,7,24800.0,17.8,24.8,7,1.0L-1.5L,Excellent
21,Honda,Jazz,2024,Diesel,Manual,1430000.0,24.8,1500,4,5600.0,14.3,5.6,0,1.0L-1.5L,Good
22,Toyota,Fortuner,2022,Diesel,Manual,2160000.0,29.7,2000,5,22600.0,21.6,22.6,2,1.5L-2.0L,Excellent
23,Toyota,Camry,2023,Electric,Automatic,2890000.0,12.2,1200,5,23500.0,28.9,23.5,1,1.0L-1.5L,Low
24,Mahindra,XUV700,2016,Electric,Automatic,1470000.0,21.3,1500,5,8800.0,14.7,8.8,8,1.0L-1.5L,Good
25,Toyota,Glanza,2020,Electric,Automatic,2520000.0,16.5,2000,7,5600.0,25.2,5.6,4,1.5L-2.0L,Average
26,Tata Motors,Punch,2024,Petrol,Manual,2650000.0,29.2,1200,7,8200.0,26.5,8.2,0,1.0L-1.5L,Excellent
27,Maruti Suzuki,Ertiga,2015,Electric,Automatic,940000.0,15.6,1000,4,24300.0,9.4,24.3,9,Below 1.0L,Average
28,Mahindra,XUV700,2019,Electric,Manual,2770000.0,13.8,2500,6,11400.0,27.7,11.4,5,2.0L-3.0L,Low
29,Tata Motors,Altroz,2018,Electric,Manual,2820000.0,21.4,2500,5,15500.0,28.2,15.5,6,2.0L-3.0L,Good
30,Renault,Kiger,2022,Electric,Automatic,1200000.0,22.5,1200,4,15100.0,12.0,15.1,2,1.0L-1.5L,Good
31,Tata Motors,Harrier,2023,Diesel,Manual,1530000.0,13.9,2500,6,13200.0,15.3,13.2,1,2.0L-3.0L,Low
32,Kia,Carnival,2022,Diesel,Automatic,950000.0,10.1,1500,5,14800.0,9.5,14.8,2,1.0L-1.5L,Low
33,Toyota,Innova,2018,CNG,Manual,1010000.0,25.0,800,6,12400.0,10.1,12.4,6,Below 1.0L,Good
34,Honda,Amaze,2021,CNG,Automatic,2370000.0,29.4,2500,6,17000.0,23.7,17.0,3,2.0L-3.0L,Excellent
35,Volkswagen,Polo,2016,CNG,Automatic,2590000.0,28.8,1500,7,12400.0,25.9,12.4,8,1.0L-1.5L,Excellent
36,Maruti Suzuki,Swift,2019,Diesel,Manual,1920000.0,11.9,1500,7,16600.0,19.2,16.6,5,1.0L-1.5L,Low
37,Kia,EV6,2020,CNG,Automatic,1990000.0,16.0,1000,7,5100.0,19.9,5.1,4,Below 1.0L,Average
38,Hyundai,Verna,2019,Diesel,Automatic,1730000.0,23.0,1800,7,19300.0,17.3,19.3,5,1.5L-2.0L,Good
39,Skoda,Slavia,2017,Diesel,Automatic,3290000.0,10.7,1800,6,6800.0,32.9,6.8,7,1.5L-2.0L,Low
40,Toyota,Glanza,2015,Diesel,Automatic,520000.0,14.5,1800,6,8300.0,5.2,8.3,9,1.5L-2.0L,Low
41,Tata Motors,Harrier,2021,Diesel,Manual,1260000.0,25.9,1500,4,24400.0,12.6,24.4,3,1.0L-1.5L,Excellent
42,Tata Motors,Harrier,2024,Diesel,Automatic,500000.0,16.8,2000,4,14000.0,5.0,14.0,0,1.5L-2.0L,Average
43,Tata Motors,Nexon,2022,CNG,Manual,1860000.0,19.9,1200,5,14300.0,18.6,14.3,2,1.0L-1.5L,Average
44,Tata Motors,Punch,2021,CNG,Automatic,410000.0,12.9,1500,7,19400.0,4.1,19.4,3,1.0L-1.5L,Low
45,Mahindra,Scorpio,2022,CNG,Automatic,1290000.0,25.9,1800,6,16600.0,12.9,16.6,2,1.5L-2.0L,Excellent
46,Maruti Suzuki,Dzire,2018,CNG,Manual,2340000.0,27.6,1500,7,12200.0,23.4,12.2,6,1.0L-1.5L,Excellent
47,Honda,Civic,2024,Diesel,Manual,550000.0,23.3,2000,4,14700.0,5.5,14.7,0,1.5L-2.0L,Good
48,Honda,Amaze,2022,Petrol,Automatic,960000.0,20.7,1000,7,21400.0,9.6,21.4,2,Below 1.0L,Good
49,Volkswagen,Virtus,2021,Diesel,Manual,450000.0,14.0,1200,4,8300.0,4.5,8.3,3,1.0L-1.5L,Low
50,Volkswagen,Tiguan,2020,Petrol,Manual,3160000.0,18.7,1800,6,5500.0,31.6,5.5,4,1.5L-2.0L,Average
51,Skoda,Octavia,2015,CNG,Automatic,2900000.0,13.5,2500,4,23600.0,29.0,23.6,9,2.0L-3.0L,Low
52,Kia,Seltos,2023,Electric,Manual,1410000.0,12.6,2000,5,6800.0,14.1,6.8,1,1.5L-2.0L,Low
53,Mahindra,Bolero,2019,Petrol,Automatic,2480000.0,22.0,1200,4,23400.0,24.8,23.4,5,1.0L-1.5L,Good
54,Kia,Carnival,2020,Diesel,Manual,1320000.0,21.0,1000,6,9100.0,13.2,9.1,4,Below 1.0L,Good
55,Skoda,Kushaq,2023,Electric,Automatic,430000.0,22.9,1500,6,18600.0,4.3,18.6,1,1.0L-1.5L,Good
56,Toyota,Innova,2023,Electric,Manual,3410000.0,24.0,1500,5,16500.0,34.1,16.5,1,1.0L-1.5L,Good
57,Toyota,Innova,2018,Electric,Manual,890000.0,24.7,1200,7,8400.0,8.9,8.4,6,1.0L-1.5L,Good
58,Mahindra,Thar,2015,Electric,Automatic,1860000.0,25.1,2000,7,23800.0,18.6,23.8,9,1.5L-2.0L,Excellent
59,Skoda,Slavia,2016,Diesel,Automatic,3070000.0,11.6,1800,5,23000.0,30.7,23.0,8,1.5L-2.0L,Low
60,Toyota,Camry,2016,Diesel,Manual,690000.0,26.5,1200,4,21400.0,6.9,21.4,8,1.0L-1.5L,Excellent
61,Hyundai,i10,2024,Petrol,Automatic,2830000.0,17.2,800,5,14500.0,28.3,14.5,0,Below 1.0L,Average
62,Tata Motors,Nexon,2020,Diesel,Manual,3370000.0,11.1,800,7,11100.0,33.7,11.1,4,Below 1.0L,Low
63,Mahindra,Scorpio,2016,CNG,Automatic,490000.0,29.5,1500,4,5300.0,4.9,5.3,8,1.0L-1.5L,Excellent
64,Kia,Carnival,2022,Electric,Manual,2970000.0,12.8,1000,6,13100.0,29.7,13.1,2,Below 1.0L,Low
65,Tata Motors,Nexon,2018,Petrol,Manual,1780000.0,13.0,2500,7,17900.0,17.8,17.9,6,2.0L-3.0L,Low
66,Kia,Sonet,2016,Diesel,Manual,2190000.0,25.2,1200,5,7100.0,21.9,7.1,8,1.0L-1.5L,Excellent
67,Skoda,Superb,2020,Diesel,Manual,2300000.0,22.6,2500,4,11700.0,23.0,11.7,4,2.0L-3.0L,Good
68,Kia,Sonet,2020,Diesel,Automatic,2650000.0,11.4,1200,6,24700.0,26.5,24.7,4,1.0L-1.5L,Low
69,Hyundai,Venue,2021,Electric,Automatic,1680000.0,24.1,2500,6,24000.0,16.8,24.0,3,2.0L-3.0L,Good
70,Skoda,Rapid,2015,Electric,Automatic,1700000.0,15.8,800,4,23500.0,17.0,23.5,9,Below 1.0L,Average
